a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19
0,none,attachment,MPUI_NO_ATTACHMENT,none,,weapon_missing_image,MPUI_NO_ATTACHMENT_DESC,,0,,,,,,,,,,
1,top,attachment,MPUI_ACOG,acog,,cac_mods_acog,MPUI_ACOG_DESC,ACOG,1,,dualclip extbarrel extclip fastads fmj gl grip rf sf silencer stackfire stalker steadyaim,1,,,,,,0,
2,trigger,attachment,MPUI_DUALCLIP,dualclip,,cac_mods_dual_clip,MPUI_DUALCLIP_DESC,DUALCLIP,4,,acog dualoptic extbarrel fastads fmj gl grip holo ir is mms rangefinder reflex rf sf silencer stalker steadyaim swayreduc tacknife vzoom longbreath,1,,,,,,0,
3,top,attachment,MPUI_DUALOPTIC,dualoptic,,cac_mods_combo_r_a,PLATFORM_DUALOPTIC_DESC,dualoptic,5,,dualclip extbarrel extclip fastads fmj grip rf silencer stalker steadyaim,1,,,,,,0,
4,bottom,attachment,MPUI_DW,dw,,cac_mods_dual_wield,MPUI_DW_DESC,dw,6,,,1,,,,,,0,
5,muzzle,attachment,MPUI_EXTBARREL,extbarrel,,cac_mods_barrel_extend,MPUI_EXTBARREL_DESC,extbarrel,8,,acog dualclip dualoptic extclip fastads fmj gl grip holo ir is mms rangefinder reflex rf sf stalker steadyaim swayreduc tacknife vzoom longbreath,1,,,,,,0,
6,trigger,attachment,MPUI_EXTCLIP,extclip,,cac_mods_extended_mag,MPUI_EXTCLIP_DESC,EXTCLIP,9,,acog dualoptic extbarrel fastads fmj gl grip holo ir is mms rangefinder reflex rf silencer sf stalker steadyaim swayreduc tacknife vzoom longbreath,1,,,,,,0,
7,trigger,attachment,MPUI_EXTRAMAGS,extramags,,perk_lightweight,MPUI_EXTRAMAGS_DESC,extramags,10,,,-1,,,,,,0,
8,gunperk,attachment,MPUI_FASTADS,fastads,,cac_mods_pistol_grip,MPUI_FASTADS_DESC,fastads,11,,acog dualclip dualoptic extbarrel extclip fmj gl grip holo ir is mms rangefinder reflex rf silencer sf stalker steadyaim swayreduc vzoom longbreath,1,,,,,,0,
9,top,attachment,MPUI_FASTRELOAD,fastreload,,cac_mods_ironsight,MPUI_FASTRELOAD_DESC,fastreload,12,,,-1,,,,,,0,
10,trigger,attachment,MPUI_FMJ,fmj,,cac_mods_fmj,MPUI_FMJ_DESC,FMJ,13,,acog dualclip dualoptic extbarrel extclip fastads gl grip holo ir is rangefinder reflex rf silencer sf stalker steadyaim swayreduc tacknife vzoom longbreath,1,,,,,,0,
11,bottom,attachment,MPUI_GL,gl,,hud_grenade_launcher,MPUI_GL_DESC,GL,14,,acog dualclip extbarrel extclip fastads fmj holo ir is mms rangefinder reflex rf silencer stalker steadyaim swayreduc longbreath,1,,,,,,0,
12,bottom,attachment,MPUI_GRIP,grip,,cac_mods_foregrip,MPUI_GRIP_DESC,GRIP,15,,acog dualclip dualoptic extbarrel extclip fastads fmj holo ir is mms rangefinder reflex rf silencer sf stalker steadyaim swayreduc vzoom longbreath,1,,,,,,0,
